Gijsbert;vanKatz;NED;Msen;02:45:04
Mark;vanMolen;NED;M40;02:45:06
Niek;vanSon;NED;Msen;02:33:07
Sebastien;Vast;FRA;M35;02:44:50
Emilio;Vazquez;ESP;M40;02:49:23
Edwin;Veenstra;NED;M45;02:43:40
Julio;Vela;GUA;Msen;02:48:15
Maarten;Vermeij;NED;M35;02:53:53
Steven;Vermeiren;BEL;M35;02:44:32
Steve;Vervueren;BEL;M40;02:44:09
Wim;Vlieghe;BEL;M40;02:38:17
Maurice;Vriend;NED;Msen;02:51:52
Christian;Wahl;NOR;M50;02:53:49
Frederic;WALCZAK;FRA;Msen;02:34:08
Paul;Waszink;NED;M40;02:36:04
John;Wedgwood;GBR;Msen;02:53:39
Ruud;Weijer;NED;Msen;02:45:22
Michal;Wendland;POL;Msen;02:46:25
Mikael;Westin;SWE;M35;02:54:55
Konrad;Wilandt;POL;Msen;02:50:42
David;Williams;GBR;M40;02:48:29
David;Williamson;GBR;M45;02:43:42
Mickey;Wilson;USA;Msen;02:28:11
Rik;Wolswinkel;NED;M35;02:52:52
Michal;Woznicki;POL;M40;02:52:15
Christoforos;Xenos;GBR;Msen;02:56:02
Dadi;Yami;ETH;Msen;02:13:40
Johan;Yvalun;FRA;Msen;02:33:49
Pierre;yves;FRA;M40;02:54:38
Erik;Zabel;NED;Msen;02:48:32
Stepien;Zenon;POL;M50;02:56:44
